Date,Description,Category,Type,Amount
2025-08-11,Employee Salaries Payment,Employee Salaries,expense,8500
2025-10-27,Marketing Ads Payment,Marketing Ads,expense,374.98
2025-06-25,Marketing Ads Payment,Marketing Ads,expense,749.68
2025-10-06,Legal Fees Payment,Legal Fees,expense,1448.54
2025-08-31,Legal Fees Payment,Legal Fees,expense,145.24
2025-11-16,Employee Salaries Payment,Employee Salaries,expense,8500
2025-07-29,Consulting Services - Client 35,Consulting Services,income,14589.5
2025-10-25,Software Licenses Payment,Software Licenses,expense,674.48
2025-11-18,Office Supplies Payment,Office Supplies,expense,1109.62
2025-09-16,Insurance Payment,Insurance,expense,1668.16
2025-07-12,Sales Revenue - Client 56,Sales Revenue,income,1792.62
2025-08-13,Consulting Services - Client 90,Consulting Services,income,11492.73
2025-09-23,Consulting Services - Client 7,Consulting Services,income,10114.66
2025-11-04,Travel Expenses Payment,Travel Expenses,expense,1875.24
2025-08-28,Utilities Payment,Utilities,expense,621.94
2025-09-16,Office Supplies Payment,Office Supplies,expense,1777.3
2025-09-25,Utilities Payment,Utilities,expense,1373.12
2025-08-11,Travel Expenses Payment,Travel Expenses,expense,1399.2
2025-08-03,Employee Salaries Payment,Employee Salaries,expense,8500
2025-10-27,Sales Revenue - Client 19,Sales Revenue,income,5935.74
2025-09-12,Legal Fees Payment,Legal Fees,expense,1330.25
2025-12-14,Software Licenses Payment,Software Licenses,expense,1788.29
2025-09-25,Interest Income - Client 96,Interest Income,income,7016.34
2025-09-23,Software Licenses Payment,Software Licenses,expense,631.66
2025-11-22,Legal Fees Payment,Legal Fees,expense,328.89
2025-08-13,Travel Expenses Payment,Travel Expenses,expense,1071.7
2025-08-27,Legal Fees Payment,Legal Fees,expense,386.22
2025-12-05,Software Licenses Payment,Software Licenses,expense,1486.19
2025-10-19,Sales Revenue - Client 11,Sales Revenue,income,13338.87
2025-12-06,Interest Income - Client 53,Interest Income,income,14686.59
2025-07-02,Sales Revenue - Client 86,Sales Revenue,income,7282.82
2025-07-09,Office Rent Payment,Office Rent,expense,3500
2025-08-16,Sales Revenue - Client 84,Sales Revenue,income,13113.31
2025-07-14,Insurance Payment,Insurance,expense,295.62
2025-11-06,Interest Income - Client 61,Interest Income,income,1077.8
2025-07-18,Consulting Services - Client 11,Consulting Services,income,4281.26
2025-09-15,Consulting Services - Client 13,Consulting Services,income,4776.51
2025-08-03,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,1130.93
2025-07-03,Consulting Services - Client 87,Consulting Services,income,1549.63
2025-08-02,Office Supplies Payment,Office Supplies,expense,782.37
2025-09-03,Legal Fees Payment,Legal Fees,expense,728.37
2025-11-01,Software Licenses Payment,Software Licenses,expense,52.63
2025-08-01,Marketing Ads Payment,Marketing Ads,expense,165.84
2025-07-11,Employee Salaries Payment,Employee Salaries,expense,8500
2025-11-14,Interest Income - Client 24,Interest Income,income,9498.89
2025-09-03,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,173.12
2025-12-01,Subscription Fees - Client 76,Subscription Fees,income,4544.18
2025-07-10,Office Supplies Payment,Office Supplies,expense,920.54
2025-10-25,Interest Income - Client 48,Interest Income,income,1854.41
2025-09-14,Employee Salaries Payment,Employee Salaries,expense,8500
2025-10-23,Consulting Services - Client 70,Consulting Services,income,2486.75
2025-11-01,Legal Fees Payment,Legal Fees,expense,385.89
2025-10-24,Office Supplies Payment,Office Supplies,expense,612.03
2025-06-20,Sales Revenue - Client 35,Sales Revenue,income,7824.28
2025-07-30,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,1690.39
2025-06-28,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,709.02
2025-07-16,Interest Income - Client 9,Interest Income,income,4040.93
2025-09-14,Interest Income - Client 5,Interest Income,income,14380.37
2025-07-25,Legal Fees Payment,Legal Fees,expense,1377.51
2025-07-14,Subscription Fees - Client 3,Subscription Fees,income,12151.34
2025-08-08,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,290.68
2025-08-31,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,1083.81
2025-08-20,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,1783.76
2025-07-01,Marketing Ads Payment,Marketing Ads,expense,855.74
2025-09-17,Subscription Fees - Client 79,Subscription Fees,income,12799
2025-10-31,Marketing Ads Payment,Marketing Ads,expense,807.91
2025-07-04,Consulting Services - Client 1,Consulting Services,income,1645.08
2025-08-03,Marketing Ads Payment,Marketing Ads,expense,1199.54
2025-10-26,Consulting Services - Client 67,Consulting Services,income,4783.77
2025-10-25,Consulting Services - Client 86,Consulting Services,income,4822.95
2025-07-28,Marketing Ads Payment,Marketing Ads,expense,928.11
2025-06-19,Subscription Fees - Client 36,Subscription Fees,income,5193.08
2025-07-04,Sales Revenue - Client 90,Sales Revenue,income,6208.58
2025-07-12,Travel Expenses Payment,Travel Expenses,expense,1901.11
2025-10-20,Employee Salaries Payment,Employee Salaries,expense,8500
2025-11-19,Employee Salaries Payment,Employee Salaries,expense,8500
2025-12-05,Interest Income - Client 68,Interest Income,income,10103.67
2025-11-06,Office Supplies Payment,Office Supplies,expense,800.01
2025-11-14,Sales Revenue - Client 8,Sales Revenue,income,6294
2025-10-10,Subscription Fees - Client 74,Subscription Fees,income,2542.72
2025-08-14,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,713.98
2025-07-27,Utilities Payment,Utilities,expense,549.84
2025-08-17,Consulting Services - Client 70,Consulting Services,income,5080.67
2025-08-26,Consulting Services - Client 97,Consulting Services,income,7597.09
2025-10-16,Interest Income - Client 49,Interest Income,income,13113.04
2025-07-20,Software Licenses Payment,Software Licenses,expense,670.16
2025-07-13,Cloud Infrastructure (AWS) Payment,Cloud Infrastructure (AWS),expense,486.04
2025-11-12,Marketing Ads Payment,Marketing Ads,expense,879.84
2025-09-11,Interest Income - Client 93,Interest Income,income,4732.27
2025-11-30,Sales Revenue - Client 18,Sales Revenue,income,5266.67
